check,date,year,weeknum,buoy,buoy_lat,buoy_long,depth_cat,depth_m,replicate,param,units,value,notes
14,2022-05-16,2022,21,2,41.913017,-82.7367,Surface,1,1,NH4,ugL,13.55,
15,2022-05-16,2022,21,2,41.913017,-82.7367,Surface,1,2,NH4,ugL,13.55,
1,2022-05-16,2022,21,2,41.913017,-82.7367,Bottom,11,1,NH4,ugL,13.35,
2,2022-05-16,2022,21,2,41.913017,-82.7367,Bottom,11,2,NH4,ugL,13.35,
16,2022-05-16,2022,21,2,41.913017,-82.7367,Surface,1,1,NO3,ugL,646.81,
17,2022-05-16,2022,21,2,41.913017,-82.7367,Surface,1,2,NO3,ugL,644.92,
3,2022-05-16,2022,21,2,41.913017,-82.7367,Bottom,11,1,NO3,ugL,814.27,
4,2022-05-16,2022,21,2,41.913017,-82.7367,Bottom,11,2,NO3,ugL,821.65,
22,2022-05-16,2022,21,2,41.913017,-82.7367,Surface,1,1,SRP,ugL,3.32,
23,2022-05-16,2022,21,2,41.913017,-82.7367,Surface,1,2,SRP,ugL,3.19,
9,2022-05-16,2022,21,2,41.913017,-82.7367,Bottom,11,1,SRP,ugL,4.52,
10,2022-05-16,2022,21,2,41.913017,-82.7367,Bottom,11,2,SRP,ugL,4.08,
18,2022-05-16,2022,21,2,41.913017,-82.7367,Surface,1,1,TDN,ugL,823.66,
19,2022-05-16,2022,21,2,41.913017,-82.7367,Surface,1,2,TDN,ugL,803.48,
5,2022-05-16,2022,21,2,41.913017,-82.7367,Bottom,11,1,TDN,ugL,944.69,
6,2022-05-16,2022,21,2,41.913017,-82.7367,Bottom,11,2,TDN,ugL,950.46,
20,2022-05-16,2022,21,2,41.913017,-82.7367,Surface,1,1,TDP,ugL,7.87,
21,2022-05-16,2022,21,2,41.913017,-82.7367,Surface,1,2,TDP,ugL,7.64,
7,2022-05-16,2022,21,2,41.913017,-82.7367,Bottom,11,1,TDP,ugL,17.84,
8,2022-05-16,2022,21,2,41.913017,-82.7367,Bottom,11,2,TDP,ugL,17.27,
24,2022-05-16,2022,21,2,41.913017,-82.7367,Surface,1,1,TP,ugL,6.70,
25,2022-05-16,2022,21,2,41.913017,-82.7367,Surface,1,2,TP,ugL,6.70,
11,2022-05-16,2022,21,2,41.913017,-82.7367,Bottom,11,1,TP,ugL,15.00,
12,2022-05-16,2022,21,2,41.913017,-82.7367,Bottom,11,2,TP,ugL,15.00,
26,2022-05-16,2022,21,2,41.913017,-82.7367,Surface,1,1,TSS,mgL,1514.17,
13,2022-05-16,2022,21,2,41.913017,-82.7367,Bottom,11,1,TSS,mgL,3294.55,
40,2022-05-16,2022,21,4,41.8927,-82.5258,Surface,1,1,NH4,ugL,13.55,
41,2022-05-16,2022,21,4,41.8927,-82.5258,Surface,1,2,NH4,ugL,13.75,
27,2022-05-16,2022,21,4,41.8927,-82.5258,Bottom,8,1,NH4,ugL,13.35,
28,2022-05-16,2022,21,4,41.8927,-82.5258,Bottom,8,2,NH4,ugL,13.16,
42,2022-05-16,2022,21,4,41.8927,-82.5258,Surface,1,1,NO3,ugL,192.06,
43,2022-05-16,2022,21,4,41.8927,-82.5258,Surface,1,2,NO3,ugL,192.26,
29,2022-05-16,2022,21,4,41.8927,-82.5258,Bottom,8,1,NO3,ugL,349.32,
30,2022-05-16,2022,21,4,41.8927,-82.5258,Bottom,8,2,NO3,ugL,345.57,
48,2022-05-16,2022,21,4,41.8927,-82.5258,Surface,1,1,SRP,ugL,3.54,
49,2022-05-16,2022,21,4,41.8927,-82.5258,Surface,1,2,SRP,ugL,3.35,
35,2022-05-16,2022,21,4,41.8927,-82.5258,Bottom,8,1,SRP,ugL,2.81,
36,2022-05-16,2022,21,4,41.8927,-82.5258,Bottom,8,2,SRP,ugL,2.56,
44,2022-05-16,2022,21,4,41.8927,-82.5258,Surface,1,1,TDN,ugL,353.93,
45,2022-05-16,2022,21,4,41.8927,-82.5258,Surface,1,2,TDN,ugL,498.02,
31,2022-05-16,2022,21,4,41.8927,-82.5258,Bottom,8,1,TDN,ugL,492.25,
32,2022-05-16,2022,21,4,41.8927,-82.5258,Bottom,8,2,TDN,ugL,463.43,
46,2022-05-16,2022,21,4,41.8927,-82.5258,Surface,1,1,TDP,ugL,11.68,
47,2022-05-16,2022,21,4,41.8927,-82.5258,Surface,1,2,TDP,ugL,11.33,
33,2022-05-16,2022,21,4,41.8927,-82.5258,Bottom,8,1,TDP,ugL,9.89,
34,2022-05-16,2022,21,4,41.8927,-82.5258,Bottom,8,2,TDP,ugL,9.60,
50,2022-05-16,2022,21,4,41.8927,-82.5258,Surface,1,1,TP,ugL,7.00,
51,2022-05-16,2022,21,4,41.8927,-82.5258,Surface,1,2,TP,ugL,6.15,
37,2022-05-16,2022,21,4,41.8927,-82.5258,Bottom,8,1,TP,ugL,6.65,
38,2022-05-16,2022,21,4,41.8927,-82.5258,Bottom,8,2,TP,ugL,7.15,
52,2022-05-16,2022,21,4,41.8927,-82.5258,Surface,1,1,TSS,mgL,3083.00,
39,2022-05-16,2022,21,4,41.8927,-82.5258,Bottom,8,1,TSS,mgL,3201.90,
66,2022-05-16,2022,21,5,42.002583,-82.5786,Surface,1,1,NH4,ugL,11.39,
67,2022-05-16,2022,21,5,42.002583,-82.5786,Surface,1,2,NH4,ugL,11.78,
53,2022-05-16,2022,21,5,42.002583,-82.5786,Bottom,8.5,1,NH4,ugL,14.14,
54,2022-05-16,2022,21,5,42.002583,-82.5786,Bottom,8.5,2,NH4,ugL,13.75,
68,2022-05-16,2022,21,5,42.002583,-82.5786,Surface,1,1,NO3,ugL,363.96,
69,2022-05-16,2022,21,5,42.002583,-82.5786,Surface,1,2,NO3,ugL,360.76,
55,2022-05-16,2022,21,5,42.002583,-82.5786,Bottom,8.5,1,NO3,ugL,362.32,
56,2022-05-16,2022,21,5,42.002583,-82.5786,Bottom,8.5,2,NO3,ugL,359.06,
74,2022-05-16,2022,21,5,42.002583,-82.5786,Surface,1,1,SRP,ugL,1.77,
75,2022-05-16,2022,21,5,42.002583,-82.5786,Surface,1,2,SRP,ugL,1.96,
61,2022-05-16,2022,21,5,42.002583,-82.5786,Bottom,8.5,1,SRP,ugL,5.31,
62,2022-05-16,2022,21,5,42.002583,-82.5786,Bottom,8.5,2,SRP,ugL,5.53,
70,2022-05-16,2022,21,5,42.002583,-82.5786,Surface,1,1,TDN,ugL,451.91,
71,2022-05-16,2022,21,5,42.002583,-82.5786,Surface,1,2,TDN,ugL,515.31,
57,2022-05-16,2022,21,5,42.002583,-82.5786,Bottom,8.5,1,TDN,ugL,549.89,
58,2022-05-16,2022,21,5,42.002583,-82.5786,Bottom,8.5,2,TDN,ugL,596.00,
72,2022-05-16,2022,21,5,42.002583,-82.5786,Surface,1,1,TDP,ugL,3.03,
73,2022-05-16,2022,21,5,42.002583,-82.5786,Surface,1,2,TDP,ugL,3.55,
59,2022-05-16,2022,21,5,42.002583,-82.5786,Bottom,8.5,1,TDP,ugL,14.56,
60,2022-05-16,2022,21,5,42.002583,-82.5786,Bottom,8.5,2,TDP,ugL,14.56,
76,2022-05-16,2022,21,5,42.002583,-82.5786,Surface,1,1,TP,ugL,6.80,
77,2022-05-16,2022,21,5,42.002583,-82.5786,Surface,1,2,TP,ugL,6.65,
63,2022-05-16,2022,21,5,42.002583,-82.5786,Bottom,8.5,1,TP,ugL,15.84,
64,2022-05-16,2022,21,5,42.002583,-82.5786,Bottom,8.5,2,TP,ugL,17.78,
78,2022-05-16,2022,21,5,42.002583,-82.5786,Surface,1,1,TSS,mgL,619.00,
65,2022-05-16,2022,21,5,42.002583,-82.5786,Bottom,8.5,1,TSS,mgL,9095.00,
92,2022-05-16,2022,21,6,42.0222,-82.6697,Surface,1,1,NH4,ugL,13.94,
93,2022-05-16,2022,21,6,42.0222,-82.6697,Surface,1,2,NH4,ugL,13.75,
79,2022-05-16,2022,21,6,42.0222,-82.6697,Bottom,8,1,NH4,ugL,15.12,
80,2022-05-16,2022,21,6,42.0222,-82.6697,Bottom,8,2,NH4,ugL,14.14,
94,2022-05-16,2022,21,6,42.0222,-82.6697,Surface,1,1,NO3,ugL,381.90,
95,2022-05-16,2022,21,6,42.0222,-82.6697,Surface,1,2,NO3,ugL,381.66,
81,2022-05-16,2022,21,6,42.0222,-82.6697,Bottom,8,1,NO3,ugL,357.15,
82,2022-05-16,2022,21,6,42.0222,-82.6697,Bottom,8,2,NO3,ugL,353.16,
100,2022-05-16,2022,21,6,42.0222,-82.6697,Surface,1,1,SRP,ugL,6.98,
101,2022-05-16,2022,21,6,42.0222,-82.6697,Surface,1,2,SRP,ugL,7.05,
87,2022-05-16,2022,21,6,42.0222,-82.6697,Bottom,8,1,SRP,ugL,4.52,
88,2022-05-16,2022,21,6,42.0222,-82.6697,Bottom,8,2,SRP,ugL,4.42,
96,2022-05-16,2022,21,6,42.0222,-82.6697,Surface,1,1,TDN,ugL,480.72,
97,2022-05-16,2022,21,6,42.0222,-82.6697,Surface,1,2,TDN,ugL,500.90,
83,2022-05-16,2022,21,6,42.0222,-82.6697,Bottom,8,1,TDN,ugL,457.67,
84,2022-05-16,2022,21,6,42.0222,-82.6697,Bottom,8,2,TDN,ugL,451.91,
98,2022-05-16,2022,21,6,42.0222,-82.6697,Surface,1,1,TDP,ugL,13.00,
99,2022-05-16,2022,21,6,42.0222,-82.6697,Surface,1,2,TDP,ugL,13.18,
85,2022-05-16,2022,21,6,42.0222,-82.6697,Bottom,8,1,TDP,ugL,13.35,
86,2022-05-16,2022,21,6,42.0222,-82.6697,Bottom,8,2,TDP,ugL,8.68,
102,2022-05-16,2022,21,6,42.0222,-82.6697,Surface,1,1,TP,ugL,5.81,
103,2022-05-16,2022,21,6,42.0222,-82.6697,Surface,1,2,TP,ugL,5.61,
89,2022-05-16,2022,21,6,42.0222,-82.6697,Bottom,8,1,TP,ugL,8.64,
90,2022-05-16,2022,21,6,42.0222,-82.6697,Bottom,8,2,TP,ugL,8.34,
104,2022-05-16,2022,21,6,42.0222,-82.6697,Surface,1,1,TSS,mgL,330.00,
91,2022-05-16,2022,21,6,42.0222,-82.6697,Bottom,8,1,TSS,mgL,828.00,
118,2022-05-16,2022,21,7,41.99605,-82.7179,Surface,1,1,NH4,ugL,13.55,
119,2022-05-16,2022,21,7,41.99605,-82.7179,Surface,1,2,NH4,ugL,13.55,
105,2022-05-16,2022,21,7,41.99605,-82.7179,Bottom,9.5,1,NH4,ugL,14.92,
106,2022-05-16,2022,21,7,41.99605,-82.7179,Bottom,9.5,2,NH4,ugL,15.51,
120,2022-05-16,2022,21,7,41.99605,-82.7179,Surface,1,1,NO3,ugL,559.89,
121,2022-05-16,2022,21,7,41.99605,-82.7179,Surface,1,2,NO3,ugL,554.17,
107,2022-05-16,2022,21,7,41.99605,-82.7179,Bottom,9.5,1,NO3,ugL,490.18,
108,2022-05-16,2022,21,7,41.99605,-82.7179,Bottom,9.5,2,NO3,ugL,494.20,
126,2022-05-16,2022,21,7,41.99605,-82.7179,Surface,1,1,SRP,ugL,2.65,
127,2022-05-16,2022,21,7,41.99605,-82.7179,Surface,1,2,SRP,ugL,3.13,
113,2022-05-16,2022,21,7,41.99605,-82.7179,Bottom,9.5,1,SRP,ugL,2.97,
114,2022-05-16,2022,21,7,41.99605,-82.7179,Bottom,9.5,2,SRP,ugL,3.73,
122,2022-05-16,2022,21,7,41.99605,-82.7179,Surface,1,1,TDN,ugL,627.70,
123,2022-05-16,2022,21,7,41.99605,-82.7179,Surface,1,2,TDN,ugL,636.34,
109,2022-05-16,2022,21,7,41.99605,-82.7179,Bottom,9.5,1,TDN,ugL,319.34,
110,2022-05-16,2022,21,7,41.99605,-82.7179,Bottom,9.5,2,TDN,ugL,587.35,
124,2022-05-16,2022,21,7,41.99605,-82.7179,Surface,1,1,TDP,ugL,4.01,
125,2022-05-16,2022,21,7,41.99605,-82.7179,Surface,1,2,TDP,ugL,3.72,
111,2022-05-16,2022,21,7,41.99605,-82.7179,Bottom,9.5,1,TDP,ugL,6.14,
112,2022-05-16,2022,21,7,41.99605,-82.7179,Bottom,9.5,2,TDP,ugL,7.64,
128,2022-05-16,2022,21,7,41.99605,-82.7179,Surface,1,1,TP,ugL,7.45,
129,2022-05-16,2022,21,7,41.99605,-82.7179,Surface,1,2,TP,ugL,7.74,
115,2022-05-16,2022,21,7,41.99605,-82.7179,Bottom,9.5,1,TP,ugL,22.99,
116,2022-05-16,2022,21,7,41.99605,-82.7179,Bottom,9.5,2,TP,ugL,20.71,
130,2022-05-16,2022,21,7,41.99605,-82.7179,Surface,1,1,TSS,mgL,1079.00,
117,2022-05-16,2022,21,7,41.99605,-82.7179,Bottom,9.5,1,TSS,mgL,13192.00,
133,2022-05-27,2022,22,2,41.913017,-82.7367,Surface,1,1,TP,ugL,7.30,
134,2022-05-27,2022,22,2,41.913017,-82.7367,Surface,1,2,TP,ugL,6.60,
131,2022-05-27,2022,22,2,41.913017,-82.7367,Bottom,11,1,TP,ugL,15.79,
132,2022-05-27,2022,22,2,41.913017,-82.7367,Bottom,11,2,TP,ugL,14.20,
137,2022-05-27,2022,22,4,41.8927,-82.5258,Surface,1,1,TP,ugL,8.59,
138,2022-05-27,2022,22,4,41.8927,-82.5258,Surface,1,2,TP,ugL,8.44,
135,2022-05-27,2022,22,4,41.8927,-82.5258,Bottom,8,1,TP,ugL,11.02,
136,2022-05-27,2022,22,4,41.8927,-82.5258,Bottom,8,2,TP,ugL,11.57,
141,2022-05-27,2022,22,5,42.002583,-82.5786,Surface,1,1,TP,ugL,7.05,
142,2022-05-27,2022,22,5,42.002583,-82.5786,Surface,1,2,TP,ugL,6.90,
139,2022-05-27,2022,22,5,42.002583,-82.5786,Bottom,8.5,1,TP,ugL,17.58,
140,2022-05-27,2022,22,5,42.002583,-82.5786,Bottom,8.5,2,TP,ugL,18.23,
145,2022-05-27,2022,22,6,42.0222,-82.6697,Surface,1,1,TP,ugL,11.32,
146,2022-05-27,2022,22,6,42.0222,-82.6697,Surface,1,2,TP,ugL,12.96,
143,2022-05-27,2022,22,6,42.0222,-82.6697,Bottom,8,1,TP,ugL,4.27,
144,2022-05-27,2022,22,6,42.0222,-82.6697,Bottom,8,2,TP,ugL,4.51,
149,2022-05-27,2022,22,7,41.99605,-82.7179,Surface,1,1,TP,ugL,6.50,
150,2022-05-27,2022,22,7,41.99605,-82.7179,Surface,1,2,TP,ugL,7.05,
